ID;5
Name;Entfernung dynamischer Objekte mittels 3DTK People Remover
Beschreibung;Als Nutzer*in möchte ich das externe Programm 3DTK People Remover verwenden können, um dynamische Objekte aus den Daten zu entfernen.
Akzeptanzkriterium;Dynamische Objekte werden mittels 3DTK People Remover sichtbar aus den Daten entfernt.
Geschätzter Aufwand (Story Points);5
Entwickler*in;Alicia Gleichmann
Fertiggestellt in Iteration;2
Tatsächlicher Aufwand (h);5,75
Velocity (Story Points/h);0,86
Bemerkungen;3DTK People Remover konnte in diesem Anwendungsfall keine zufriedenstellenden Ergebnisse liefern, darum wurde die User Story nicht ins endgültige System übernommen.
